,samples,numreads
0,DE-14644-S2_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
1,DE-14645-S2_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
2,DE-14646-S2_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
3,DE-14647-S2_bleu_CB_2603_S4_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
4,DE-14648-S2_bleu_CB_2803_S5_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
5,DE-14649-S2_bleu_CB_3103_S6_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
6,DE-14650-S2_bleu_M9_CA_1703_S7_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
7,DE-14651-S2_bleu_M9_CA_2203_S8_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
8,DE-14652-S2_bleu_M9_CA_2403_S9_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,31
9,DE-14653-S2_bleu_M9_CA_2603_S10_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,35
10,DE-14654-S2_bleu_M9_CA_2803_S11_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
11,DE-14655-S2_bleu_M9_CA_3103_S12_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
12,DE-14656-S5_SM_CB_1703_S13_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
13,DE-14657-S5_SM_CB_2203_S14_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
14,DE-14658-S5_SM_CB_2403_S15_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
15,DE-14659-S5_SM_CB_2603_S16_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,5
16,DE-14660-S5_SM_CB_2803_S17_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
17,DE-14661-S5_SM_CB_3103_S18_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
18,DE-14662-S5_SM_M12_CA_1703_S19_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
19,DE-14663-S5_SM_M12_CA_2203_S20_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
20,DE-14664-S5_SM_M12_CA_2403_S21_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
21,DE-14665-S5_SM_M12_CA_2603_S22_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,113
22,DE-14666-S5_SM_M12_CA_2803_S23_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
23,DE-14667-S5_SM_M12_CA_3103_S24_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
24,DE-14668-S3_noir_M10_CA_1703_S25_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
25,DE-14669-S3_noir_M10_CA_2203_S26_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,2
26,DE-14670-S3_noir_M10_CA_2403_S27_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
27,DE-14671-S3_noir_M10_CA_2603_S28_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,8
28,DE-14672-S3_noir_M10_CA_2803_S29_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,35
29,DE-14673-S3_noir_M10_CA_3103_S30_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
30,DE-14674-S2_bleu_CF_1703_S31_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
31,DE-14675-S2_bleu_CF_2203_S32_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
32,DE-14676-S2_bleu_CF_2403_S33_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
33,DE-14677-S2_bleu_CF_2603_S34_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,2
34,DE-14678-S2_bleu_CF_2803_S35_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,44
35,DE-14679-S2_bleu_CF_3103_S36_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
36,DE-14680-S2_bleu_M9_CE_1703_S37_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
37,DE-14681-S2_bleu_M9_CE_2203_S38_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
38,DE-14682-S2_bleu_M9_CE_2403_S39_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
39,DE-14683-S2_bleu_M9_CE_2603_S40_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,32
40,DE-14684-S2_bleu_M9_CE_2803_S41_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,65
41,DE-14685-S2_bleu_M9_CE_3103_S42_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
42,DE-14686-S5_SM_CF_1703_S43_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
43,DE-14687-S5_SM_CF_2203_S44_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
44,DE-14688-S5_SM_CF_2403_S45_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
45,DE-14689-S5_SM_CF_2603_S46_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,674
46,DE-14690-S5_SM_CF_2803_S47_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,296
47,DE-14691-S5_SM_CF_3103_S48_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,16
48,DE-14692-S5_SM_M12_CE_1703_S49_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
49,DE-14693-S5_SM_M12_CE_2203_S50_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
50,DE-14694-S5_SM_M12_CE_2403_S51_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
51,DE-14695-S5_SM_M12_CE_2603_S52_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,2
52,DE-14696-S5_SM_M12_CE_2803_S53_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,4
53,DE-14697-S5_SM_M12_CE_3103_S54_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
54,DE-14698-S3_noir_M10_CE_1703_S55_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
55,DE-14699-S3_noir_M10_CE_2203_S56_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
56,DE-14700-S3_noir_M10_CE_2403_S57_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
57,DE-14701-S3_noir_M10_CE_2603_S58_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,38
58,DE-14702-S3_noir_M10_CE_2803_S59_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,11
59,DE-14703-S3_noir_M10_CE_3103_S60_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
60,DE-14704-S4_rose_CD_1703_S61_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
61,DE-14705-S4_rose_CD_2203_S62_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
62,DE-14706-S4_rose_CD_2403_S63_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
63,DE-14707-S4_rose_CD_2603_S64_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
64,DE-14708-S4_rose_CD_2803_S65_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
65,DE-14709-S4_rose_CD_3103_S66_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
66,DE-14710-S3_noir_CD_1703_S67_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
67,DE-14711-S3_noir_CD_2203_S68_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
68,DE-14712-S3_noir_CD_2403_S69_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
69,DE-14713-S3_noir_CD_2603_S70_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
70,DE-14714-S3_noir_CD_2803_S71_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
71,DE-14715-S3_noir_CD_3103_S72_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
72,DE-14716-S5_SM_M12_CC_1703_S73_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
73,DE-14717-S5_SM_M12_CC_2203_S74_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
74,DE-14718-S5_SM_M12_CC_2403_S75_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
75,DE-14719-S5_SM_M12_CC_2603_S76_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
76,DE-14720-S5_SM_M12_CC_3103_S78_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,14
77,DE-14721-S5_SM_M12_CC_2803_S77_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
78,DE-14722-S2_bleu_M9_CC_1703_S79_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
79,DE-14723-S2_bleu_M9_CC_2203_S80_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
80,DE-14724-S2_bleu_M9_CC_2403_S81_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
81,DE-14725-S2_bleu_M9_CC_2603_S82_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
82,DE-14726-S2_bleu_M9_CC_2803_S83_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
83,DE-14727-S2_bleu_M9_CC_3103_S84_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
84,DE-14728-S3_noir_M10_CC_1703_S85_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
85,DE-14729-S3_noir_M10_CC_2203_S86_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
86,DE-14730-S3_noir_M10_CC_2403_S87_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
87,DE-14732-S3_noir_M10_CC_2803_S88_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
88,DE-14733-S3_noir_M10_CC_3103_S89_Cbuty_IHU_incoluate_359_Megaplasmid_4_uniq_genes,0
