,samples,numreads
0,DE-14644-S2,0
1,DE-14645-S2,25
2,DE-14646-S2,6
3,DE-14647-S2_bleu_CB_2603_S4,100
4,DE-14648-S2_bleu_CB_2803_S5,363
5,DE-14649-S2_bleu_CB_3103_S6,13
6,DE-14650-S2_bleu_M9_CA_1703_S7,6
7,DE-14651-S2_bleu_M9_CA_2203_S8,42
8,DE-14652-S2_bleu_M9_CA_2403_S9,11971
9,DE-14653-S2_bleu_M9_CA_2603_S10,13437
10,DE-14654-S2_bleu_M9_CA_2803_S11,76
11,DE-14655-S2_bleu_M9_CA_3103_S12,0
12,DE-14656-S5_SM_CB_1703_S13,8
13,DE-14657-S5_SM_CB_2203_S14,512
14,DE-14658-S5_SM_CB_2403_S15,44
15,DE-14659-S5_SM_CB_2603_S16,2496
16,DE-14660-S5_SM_CB_2803_S17,667
17,DE-14661-S5_SM_CB_3103_S18,0
18,DE-14662-S5_SM_M12_CA_1703_S19,2
19,DE-14663-S5_SM_M12_CA_2203_S20,55
20,DE-14664-S5_SM_M12_CA_2403_S21,0
21,DE-14665-S5_SM_M12_CA_2603_S22,51393
22,DE-14666-S5_SM_M12_CA_2803_S23,16
23,DE-14667-S5_SM_M12_CA_3103_S24,0
24,DE-14668-S3_noir_M10_CA_1703_S25,0
25,DE-14669-S3_noir_M10_CA_2203_S26,1255
26,DE-14670-S3_noir_M10_CA_2403_S27,36
27,DE-14671-S3_noir_M10_CA_2603_S28,5524
28,DE-14672-S3_noir_M10_CA_2803_S29,17588
29,DE-14673-S3_noir_M10_CA_3103_S30,6
30,DE-14674-S2_bleu_CF_1703_S31,2
31,DE-14675-S2_bleu_CF_2203_S32,0
32,DE-14676-S2_bleu_CF_2403_S33,36
33,DE-14677-S2_bleu_CF_2603_S34,2991
34,DE-14678-S2_bleu_CF_2803_S35,21486
35,DE-14679-S2_bleu_CF_3103_S36,31
36,DE-14680-S2_bleu_M9_CE_1703_S37,2
37,DE-14681-S2_bleu_M9_CE_2203_S38,109
38,DE-14682-S2_bleu_M9_CE_2403_S39,118
39,DE-14683-S2_bleu_M9_CE_2603_S40,13636
40,DE-14684-S2_bleu_M9_CE_2803_S41,33006
41,DE-14685-S2_bleu_M9_CE_3103_S42,281
42,DE-14686-S5_SM_CF_1703_S43,5
43,DE-14687-S5_SM_CF_2203_S44,94
44,DE-14688-S5_SM_CF_2403_S45,20
45,DE-14689-S5_SM_CF_2603_S46,289411
46,DE-14690-S5_SM_CF_2803_S47,118439
47,DE-14691-S5_SM_CF_3103_S48,4565
48,DE-14692-S5_SM_M12_CE_1703_S49,0
49,DE-14693-S5_SM_M12_CE_2203_S50,274
50,DE-14694-S5_SM_M12_CE_2403_S51,323
51,DE-14695-S5_SM_M12_CE_2603_S52,1826
52,DE-14696-S5_SM_M12_CE_2803_S53,1528
53,DE-14697-S5_SM_M12_CE_3103_S54,21
54,DE-14698-S3_noir_M10_CE_1703_S55,8
55,DE-14699-S3_noir_M10_CE_2203_S56,32
56,DE-14700-S3_noir_M10_CE_2403_S57,139
57,DE-14701-S3_noir_M10_CE_2603_S58,13095
58,DE-14702-S3_noir_M10_CE_2803_S59,2408
59,DE-14703-S3_noir_M10_CE_3103_S60,85
60,DE-14704-S4_rose_CD_1703_S61,0
61,DE-14705-S4_rose_CD_2203_S62,0
62,DE-14706-S4_rose_CD_2403_S63,0
63,DE-14707-S4_rose_CD_2603_S64,0
64,DE-14708-S4_rose_CD_2803_S65,2
65,DE-14709-S4_rose_CD_3103_S66,0
66,DE-14710-S3_noir_CD_1703_S67,2
67,DE-14711-S3_noir_CD_2203_S68,0
68,DE-14712-S3_noir_CD_2403_S69,0
69,DE-14713-S3_noir_CD_2603_S70,0
70,DE-14714-S3_noir_CD_2803_S71,11
71,DE-14715-S3_noir_CD_3103_S72,0
72,DE-14716-S5_SM_M12_CC_1703_S73,2
73,DE-14717-S5_SM_M12_CC_2203_S74,0
74,DE-14718-S5_SM_M12_CC_2403_S75,0
75,DE-14719-S5_SM_M12_CC_2603_S76,0
76,DE-14720-S5_SM_M12_CC_3103_S78,4846
77,DE-14721-S5_SM_M12_CC_2803_S77,0
78,DE-14722-S2_bleu_M9_CC_1703_S79,7
79,DE-14723-S2_bleu_M9_CC_2203_S80,0
80,DE-14724-S2_bleu_M9_CC_2403_S81,0
81,DE-14725-S2_bleu_M9_CC_2603_S82,4
82,DE-14726-S2_bleu_M9_CC_2803_S83,0
83,DE-14727-S2_bleu_M9_CC_3103_S84,4
84,DE-14728-S3_noir_M10_CC_1703_S85,9
85,DE-14729-S3_noir_M10_CC_2203_S86,0
86,DE-14730-S3_noir_M10_CC_2403_S87,0
87,DE-14732-S3_noir_M10_CC_2803_S88,0
88,DE-14733-S3_noir_M10_CC_3103_S89,0
