scientific_name	DE-14644-S2_cleaned	DE-14645-S2_cleaned	DE-14646-S2_cleaned	DE-14647-S2_bleu_CB_2603_S4	DE-14648-S2_bleu_CB_2803_S5	DE-14649-S2_bleu_CB_3103_S6	DE-14650-S2_bleu_M9_CA_1703_S7	DE-14651-S2_bleu_M9_CA_2203_S8	DE-14652-S2_bleu_M9_CA_2403_S9	DE-14653-S2_bleu_M9_CA_2603_S10	DE-14654-S2_bleu_M9_CA_2803_S11	DE-14655-S2_bleu_M9_CA_3103_S12	DE-14656-S5_SM_CB_1703_S13	DE-14657-S5_SM_CB_2203_S14	DE-14658-S5_SM_CB_2403_S15	DE-14659-S5_SM_CB_2603_S16	DE-14660-S5_SM_CB_2803_S17	DE-14661-S5_SM_CB_3103_S18	DE-14662-S5_SM_M12_CA_1703_S19	DE-14663-S5_SM_M12_CA_2203_S20	DE-14664-S5_SM_M12_CA_2403_S21	DE-14665-S5_SM_M12_CA_2603_S22	DE-14666-S5_SM_M12_CA_2803_S23	DE-14667-S5_SM_M12_CA_3103_S24	DE-14668-S3_noir_M10_CA_1703_S25	DE-14669-S3_noir_M10_CA_2203_S26	DE-14670-S3_noir_M10_CA_2403_S27	DE-14671-S3_noir_M10_CA_2603_S28	DE-14672-S3_noir_M10_CA_2803_S29	DE-14673-S3_noir_M10_CA_3103_S30	DE-14674-S2_bleu_CF_1703_S31	DE-14675-S2_bleu_CF_2203_S32	DE-14676-S2_bleu_CF_2403_S33	DE-14677-S2_bleu_CF_2603_S34	DE-14678-S2_bleu_CF_2803_S35	DE-14679-S2_bleu_CF_3103_S36	DE-14680-S2_bleu_M9_CE_1703_S37	DE-14681-S2_bleu_M9_CE_2203_S38	DE-14682-S2_bleu_M9_CE_2403_S39	DE-14683-S2_bleu_M9_CE_2603_S40	DE-14684-S2_bleu_M9_CE_2803_S41	DE-14685-S2_bleu_M9_CE_3103_S42	DE-14686-S5_SM_CF_1703_S43	DE-14687-S5_SM_CF_2203_S44	DE-14688-S5_SM_CF_2403_S45	DE-14689-S5_SM_CF_2603_S46	DE-14690-S5_SM_CF_2803_S47	DE-14691-S5_SM_CF_3103_S48	DE-14692-S5_SM_M12_CE_1703_S49	DE-14693-S5_SM_M12_CE_2203_S50	DE-14694-S5_SM_M12_CE_2403_S51	DE-14695-S5_SM_M12_CE_2603_S52	DE-14696-S5_SM_M12_CE_2803_S53	DE-14697-S5_SM_M12_CE_3103_S54	DE-14698-S3_noir_M10_CE_1703_S55	DE-14699-S3_noir_M10_CE_2203_S56	DE-14700-S3_noir_M10_CE_2403_S57	DE-14701-S3_noir_M10_CE_2603_S58	DE-14702-S3_noir_M10_CE_2803_S59	DE-14703-S3_noir_M10_CE_3103_S60	DE-14704-S4_rose_CD_1703_S61	DE-14705-S4_rose_CD_2203_S62	DE-14706-S4_rose_CD_2403_S63	DE-14707-S4_rose_CD_2603_S64	DE-14708-S4_rose_CD_2803_S65	DE-14709-S4_rose_CD_3103_S66	DE-14710-S3_noir_CD_1703_S67	DE-14711-S3_noir_CD_2203_S68	DE-14712-S3_noir_CD_2403_S69	DE-14713-S3_noir_CD_2603_S70	DE-14714-S3_noir_CD_2803_S71	DE-14715-S3_noir_CD_3103_S72	DE-14716-S5_SM_M12_CC_1703_S73	DE-14717-S5_SM_M12_CC_2203_S74	DE-14718-S5_SM_M12_CC_2403_S75	DE-14719-S5_SM_M12_CC_2603_S76	DE-14720-S5_SM_M12_CC_3103_S78	DE-14721-S5_SM_M12_CC_2803_S77	DE-14722-S2_bleu_M9_CC_1703_S79	DE-14723-S2_bleu_M9_CC_2203_S80	DE-14724-S2_bleu_M9_CC_2403_S81	DE-14725-S2_bleu_M9_CC_2603_S82	DE-14726-S2_bleu_M9_CC_2803_S83	DE-14727-S2_bleu_M9_CC_3103_S84	DE-14728-S3_noir_M10_CC_1703_S85	DE-14729-S3_noir_M10_CC_2203_S86	DE-14730-S3_noir_M10_CC_2403_S87	DE-14732-S3_noir_M10_CC_2803_S88	DE-14733-S3_noir_M10_CC_3103_S89
Abditibacterium sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abia aenea	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abiotrophia defectiva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abiotrophia defectiva ATCC 49176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abyssicoccus albus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acanthamoeba castellanii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acanthamoeba castellanii str. Neff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetilactobacillus jinshanensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetivibrio alkalicellulosi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Acetivibrio saccincola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
