sample	taxid	name	reads
Mouse1_Day1	1496	Clostridioides difficile	101
Mouse1_Day1	1492	Clostridium butyricum	5350
Mouse1_Day1	562	Escherichia coli	840
Mouse1_Day2	1496	Clostridioides difficile	201
Mouse1_Day2	1492	Clostridium butyricum	5650
Mouse1_Day2	562	Escherichia coli	880
Mouse1_Day3	1496	Clostridioides difficile	301
Mouse1_Day3	1492	Clostridium butyricum	5950
Mouse1_Day3	562	Escherichia coli	920
Mouse1_Day4	1496	Clostridioides difficile	401
Mouse1_Day4	1492	Clostridium butyricum	6250
Mouse1_Day4	562	Escherichia coli	960
Mouse1_Day5	1496	Clostridioides difficile	501
Mouse1_Day5	1492	Clostridium butyricum	6550
Mouse1_Day5	562	Escherichia coli	1000
Mouse1_Day6	1496	Clostridioides difficile	601
Mouse1_Day6	1492	Clostridium butyricum	6850
Mouse1_Day6	562	Escherichia coli	1040
Mouse2_Day1	1496	Clostridioides difficile	102
Mouse2_Day1	1492	Clostridium butyricum	5400
Mouse2_Day1	562	Escherichia coli	840
Mouse2_Day2	1496	Clostridioides difficile	202
Mouse2_Day2	1492	Clostridium butyricum	5700
Mouse2_Day2	562	Escherichia coli	880
Mouse2_Day3	1496	Clostridioides difficile	446719
Mouse2_Day3	1492	Clostridium butyricum	6000
Mouse2_Day3	562	Escherichia coli	920
Mouse2_Day4	1496	Clostridioides difficile	402
Mouse2_Day4	1492	Clostridium butyricum	6300
Mouse2_Day4	562	Escherichia coli	960
Mouse2_Day5	1496	Clostridioides difficile	502
Mouse2_Day5	1492	Clostridium butyricum	6600
Mouse2_Day5	562	Escherichia coli	1000
Mouse2_Day6	1496	Clostridioides difficile	602
Mouse2_Day6	1492	Clostridium butyricum	6900
Mouse2_Day6	562	Escherichia coli	1040
Mouse3_Day1	1496	Clostridioides difficile	103
Mouse3_Day1	1492	Clostridium butyricum	5450
Mouse3_Day1	562	Escherichia coli	840
Mouse3_Day2	1496	Clostridioides difficile	203
Mouse3_Day2	1492	Clostridium butyricum	5750
Mouse3_Day2	562	Escherichia coli	880
Mouse3_Day3	1496	Clostridioides difficile	303
Mouse3_Day3	1492	Clostridium butyricum	6050
Mouse3_Day3	562	Escherichia coli	920
Mouse3_Day4	1496	Clostridioides difficile	613962
Mouse3_Day4	1492	Clostridium butyricum	6350
Mouse3_Day4	562	Escherichia coli	960
Mouse3_Day6	1496	Clostridioides difficile	603
Mouse3_Day6	1492	Clostridium butyricum	6950
Mouse3_Day6	562	Escherichia coli	1040
