sample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Mouse1_Day1	Cdiff_CDSM_1	1	4152362	11000	4000000	97.10	11	36.0	55.0
Mouse1_Day1	Cdiff_CDSM_2	1	8000	550	7800	97.10	22	36.0	50.0
Mouse1_Day2	Cdiff_CDSM_1	1	4152362	12000	4000000	97.20	12	36.0	55.0
Mouse1_Day2	Cdiff_CDSM_2	1	8000	600	7800	-	24	36.0	50.0
Mouse1_Day3	Cdiff_CDSM_1	1	4152362	13000	4000000	97.30	13	36.0	55.0
Mouse1_Day3	Cdiff_CDSM_2	1	8000	650	7800	97.30	26	36.0	50.0
Mouse1_Day4	Cdiff_CDSM_1	1	4152362	14000	4000000	97.40	14	36.0	55.0
Mouse1_Day4	Cdiff_CDSM_2	1	8000	700	7800	97.40	28	36.0	50.0
Mouse1_Day5	Cdiff_CDSM_1	1	4152362	15000	4000000	97.50	15	36.0	55.0
Mouse1_Day5	Cdiff_CDSM_2	1	8000	750	7800	97.50	30	36.0	50.0
Mouse1_Day6	Cdiff_CDSM_1	1	4152362	16000	4000000	97.60	16	36.0	55.0
Mouse1_Day6	Cdiff_CDSM_2	1	8000	800	7800	97.60	32	36.0	50.0
Mouse2_Day1	Cdiff_CDSM_1	1	4152362	21000	4000000	98.10	21	36.0	55.0
Mouse2_Day1	Cdiff_CDSM_2	1	8000	1050	7800	97.10	42	36.0	50.0
Mouse2_Day2	Cdiff_CDSM_1	1	4152362	22000	4000000	98.20	22	36.0	55.0
Mouse2_Day2	Cdiff_CDSM_2	1	8000	1100	7800	97.20	44	36.0	50.0
Mouse2_Day3	Cdiff_CDSM_1	1	4152362	23000	4000000	98.30	23	36.0	55.0
Mouse2_Day3	Cdiff_CDSM_2	1	8000	1150	7800	97.30	46	36.0	50.0
Mouse2_Day4 	Cdiff_CDSM_1	1	4152362	24000	4000000	98.40	24	36.0	55.0
Mouse2_Day4 	Cdiff_CDSM_2	1	8000	1200	7800	97.40	48	36.0	50.0
Mouse2_Day5	Cdiff_CDSM_1	1	4152362	25000	4000000	98.50	25	36.0	55.0
Mouse2_Day5	Cdiff_CDSM_2	1	8000	1250	7800	97.50	50	36.0	50.0
Mouse2_Day6	Cdiff_CDSM_1	1	4152362	26000	4000000	98.60	26	36.0	55.0
Mouse2_Day6	Cdiff_CDSM_2	1	8000	1300	7800	97.60	52	36.0	50.0
Mouse3_Day1	Cdiff_CDSM_1	1	4152362	31000	4000000	99.10	31	36.0	55.0
Mouse3_Day1	Cdiff_CDSM_2	1	8000	1550	7800	97.10	62	36.0	50.0
Mouse3_Day2	Cdiff_CDSM_1	1	4152362	32000	4000000	99.20	32	36.0	55.0
Mouse3_Day2	Cdiff_CDSM_2	1	8000	1600	7800	97.20	64	36.0	50.0
Mouse3_Day3	Cdiff_CDSM_1	1	4152362	33000	4000000	-	33	36.0	55.0
Mouse3_Day3	Cdiff_CDSM_2	1	8000	1650	7800	97.30	66	36.0	50.0
Mouse3_Day4	Cdiff_CDSM_1	1	4152362	34000	4000000	99.40	34	36.0	55.0
Mouse3_Day4	Cdiff_CDSM_2	1	8000	1700	7800	97.40	68	36.0	50.0
Mouse3_Day5	Cdiff_CDSM_1	1	4152362	35000	4000000	99.50	35	36.0	55.0
Mouse3_Day5	Cdiff_CDSM_2	1	8000	1750	7800	97.50	70	36.0	50.0
Mouse3_Day6	Cdiff_CDSM_1	1	4152362	36000	4000000	99.60	36	36.0	55.0
Mouse3_Day6	Cdiff_CDSM_2	1	8000	1800	7800	97.60	72	36.0	50.0
Mouse3_Day6	Cdiff_CDSM_1	1	4152362	36000	4000000	99.60	36	36.0	55.0
