#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_001	1	83147	71611	47078	56.6202	129.1887	34.5	50.2
contig_002	1	230332	16804	131018	56.8822	10.9433	34.5	58.5
contig_003	1	456256	5329	435503	95.4515	1.7520	33.8	43.5
contig_004	1	58893	46457	53065	90.1041	118.3256	36.5	46.9
contig_005	1	330405	20357	319367	96.6593	9.2418	33.9	41.6
contig_006	1	424371	23306	401725	94.6636	8.2378	33.1	54.2
contig_007	1	179160	54064	163215	91.1001	45.2646	36.5	55.8
contig_008	1	144883	20966	131020	90.4316	21.7065	33.4	57.2
contig_009	1	455150	61794	295890	65.0093	20.3649	36.3	48.1
contig_010	1	165007	29931	107306	65.0312	27.2088	35.6	46.8
contig_011	1	151068	9199	148817	98.5099	9.1340	34.1	52.1
contig_012	1	214546	89165	212726	99.1517	62.3398	35.1	58.7
