#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_001	1	356602	25925	254578	71.3900	10.9050	33.3	52.6
contig_002	1	178119	81778	123126	69.1257	68.8680	36.4	53.8
contig_003	1	162455	66569	111960	68.9175	61.4653	34.6	46.9
contig_004	1	160008	72767	97169	60.7276	68.2157	34.7	58.7
contig_005	1	360109	22910	297803	82.6980	9.5429	34.2	50.1
contig_006	1	5212	39929	3539	67.9010	1149.1462	34.7	50.8
contig_007	1	348254	42337	264409	75.9242	18.2354	34.8	42.7
contig_008	1	253085	22341	214232	84.6482	13.2412	34.1	52.6
contig_009	1	329671	44033	195173	59.2024	20.0350	36.8	43.2
contig_010	1	167749	29544	153147	91.2953	26.4180	33.6	39.0
contig_011	1	254108	80220	236925	93.2379	47.3539	33.3	47.1
contig_012	1	335178	75554	213674	63.7494	33.8122	35.8	48.9
