#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_001	1	8407	21026	7265	86.4161	375.1517	34.4	41.4
contig_002	1	405290	44218	241550	59.5993	16.3653	34.5	45.9
contig_003	1	185331	79231	123992	66.9030	64.1266	33.2	48.1
contig_004	1	70444	49715	41242	58.5458	105.8607	34.2	51.8
contig_005	1	469231	47500	379987	80.9808	15.1844	35.8	39.0
contig_006	1	124484	38030	123656	99.3349	45.8252	36.4	57.1
contig_007	1	204295	36534	154045	75.4032	26.8244	36.3	41.6
contig_008	1	191264	27560	162876	85.1577	21.6141	35.8	53.0
contig_009	1	42435	79940	35464	83.5725	282.5733	35.1	43.4
contig_010	1	247357	49835	166094	67.1475	30.2205	36.7	53.1
contig_011	1	120141	89833	83609	69.5924	112.1595	36.1	39.2
contig_012	1	435861	4307	397623	91.2270	1.4822	34.6	39.5
